Locus Tag	Name	EEP	MEP	LEP	ESP	LSP
SL1344_0369	yaiV	10	6.9	12.7	12.9	6.2
SL1344_0370	ampH	22.8	18.5	18.6	12.3	1.7
SL1344_0371	sbmA	24.7	16.9	14.3	9.8	1.4
SL1344_0372	yaiW	18.3	17.5	12.4	12.7	0.5
SL1344_0373	yaiY	2.5	2.7	9.5	12.5	11.8
SL1344_0374	yaiZ	88.4	110.4	234.8	169.4	25.2
SL1344_0375	ddlA	36.8	53.3	39.8	23.3	7.2
SL1344_0376		1.9	2.6	6.1	8.3	12.6
SL1344_0377		6.7	5.8	5.7	3.4	2.5
SL1344_0378	yaiB	97.3	137.6	359.8	541.9	66.2
STnc4150		9.4	11.1	35.3	30.5	104.3
SL1344_0379	psiF	9.5	10	58.6	147.7	207.7
SL1344_0380	adrA	3.6	5.8	9.9	12.9	11.7
SL1344_0381	proC	29.4	29.9	30.9	23.9	2.3
SL1344_0382	yaiI	24.8	28.3	18	10.3	1.1
SL1344_0383	aroL	74.7	57.2	35.2	23	2.3
SL1344_0384	yaiA	108.2	94.9	127.5	162.9	368.8
SL1344_0385	aroM	41.2	31.5	33.5	25.5	8.1
SL1344_0386	yaiE	106.1	108	116.4	101.5	18.7
SL1344_0387	rdgC	71.7	77	52.8	26	2
SL1344_0388	yajF	14.8	19.2	21.9	17.8	3.8
SL1344_0389	araJ	16.5	15.1	12	5.1	1.3
SL1344_0390	sbcC	19	19.3	12.1	5.8	0.3
SL1344_0391	sbcD	24.8	21.6	13.9	6.3	0.2
SL1344_0392	phoB	70.8	82.4	64.9	45	3.1
SL1344_0393	phoR	30.6	32.7	26.3	18.5	0.5
SL1344_0394	brnQ	146.2	118.7	97	41.7	5.2
SL1344_0395	proY	78.9	35.5	34.4	12.7	1.6
SL1344_0396	malZ	16.2	12.7	7.7	5.1	1.2
SL1344_0397	tsaA	458.8	469.5	326.1	161.1	4.6
SL1344_0398	yajB	58.3	76.4	63	64.1	9.1
SL1344_0399	queA	146	81.4	60	12	0.5
SL1344_0400	tgt	293.2	205.8	176.1	69.1	3.8
SL1344_0401	yajC	723	631.2	468.4	260.8	3.7
SL1344_0402	secD	333	263.3	229.7	105.1	5.2
SL1344_0403	secF	234.3	177.2	143.2	47.3	2.2
SL1344_0404		31.7	21.2	22.4	11.8	1.8
SL1344_0405		16.8	9.6	10.1	6.5	1.1
SL1344_0406	yajD	81.2	72.1	53.8	48.7	4.3
STnc1060		562.5	1043.6	1967	2746.3	2101.9
SL1344_0407	tsx	138.8	487.5	112.4	84.2	3.2
SL1344_0408	yajI	6.8	5.3	13	10.4	4.6
SL1344_0409	nrdR	212.9	233.8	172.1	120.2	15.2
SL1344_0410	ribD	70	90.5	74.5	45.8	2.3
SL1344_0411	ribH	534.5	353.4	276.7	96.8	6.9
SL1344_0412	nusB	552.5	518.3	415.5	230.1	28
SL1344_0413	thiL	122.8	67.9	53.6	22.1	1.1
SL1344_0414	pgpA	108.1	50.9	42.7	23	3.5
SL1344_0415	yajO	22.4	23.3	20.7	22.4	8.3
SL1344_0416	dxs	74.5	74.3	61.6	34.2	1.3
SL1344_0417	ispA	90.6	91.8	74.7	49.4	7.6
SL1344_0418	xseB	130.8	118.5	147.7	95.6	14.1
SL1344_0419	thiI	82.3	73.1	43.1	15.3	1.1
SL1344_0420	phnV	1.9	3.3	2.8	2.4	0.3
SL1344_0421	phnU	2.8	2.3	1.7	0.8	0.4
SL1344_0422	phnT	2.5	3.4	2.5	1.5	0.9
SL1344_0423	phnS	3.7	5	3.8	3.2	1.4
SL1344_0424	phnR	13.8	13.4	8.8	7.5	1.2
